CAC40,,,,,,,,DAX,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume
2000/1/1,6024.379883,6102.120117,5388.850098,5539.609863,5539.609863,0,,2000/1/1,6961.720215,7159.330078,6388.910156,6780.959961,6780.959961,239673200
2000/1/8,5625.819824,5804.160156,5536.5,5787.439941,5787.439941,0,,2000/1/8,6785.470215,7207.450195,6783.220215,7173.220215,7173.220215,215736400
2000/1/15,5834.75,5859.439941,5590.189941,5681.319824,5681.319824,0,,2000/1/15,7177.47998,7306.47998,6939.939941,6992.75,6992.75,229195500
2000/1/22,5687.359863,5813.279785,5590.169922,5731.049805,5731.049805,0,,2000/1/22,6987.589844,7214.580078,6809.640137,7066.600098,7066.600098,198470200
2000/1/29,5677.790039,6312.419922,5625.720215,6275.720215,6275.720215,0,,2000/1/29,7054.240234,7491.790039,6816.540039,7444.609863,7444.609863,245145800
2000/2/5,6276.470215,6396.970215,6148.470215,6287.009766,6287.009766,0,,2000/2/5,7450.790039,7812.089844,7263.189941,7611.549805,7611.549805,282400700
2000/2/12,6241.910156,6330.009766,5997.77002,6062.720215,6062.720215,0,,2000/2/12,7569.009766,7699.970215,7342.649902,7573.779785,7573.779785,227729000
2000/2/19,5979.129883,6202.529785,5920.609863,6188.640137,6188.640137,0,,2000/2/19,7568.339844,7813.200195,7447.709961,7738.680176,7738.680176,191482900
2000/2/26,6181.049805,6555.870117,6031.689941,6514.109863,6514.109863,0,,2000/2/26,7732.899902,8022.47998,7492.22998,7960.029785,7960.029785,180611200
2000/3/4,6554.950195,6590.350098,6333.459961,6510.279785,6510.279785,0,,2000/3/4,7960.089844,8136.160156,7877.189941,7975.950195,7975.950195,230316300
2000/3/11,6477.470215,6483.810059,6144.069824,6304.279785,6304.279785,0,,2000/3/11,7977.060059,7991.069824,7411.759766,7710.919922,7710.919922,698519300
2000/3/18,6328.040039,6460.810059,6176.620117,6364.259766,6364.259766,0,,2000/3/18,7716.240234,7949.720215,7677.080078,7932.419922,7932.419922,188454600
